Designator,Mid X,Mid Y,Rotation,Layer
C1,144.2,-99.9,90.0,top
C10,143.9,-114.0,270.0,top
C11,139.9,-113.9,90.0,top
C12,137.0,-110.1,270.0,top
C13,134.9,-110.1,270.0,top
C14,132.0,-113.9,270.0,top
C15,128.0,-114.0,90.0,top
C16,125.5,-110.2,270.0,top
C17,136.1,-104.9,270.0,top
C18,141.5,-99.2,270.0,top
C19,126.2,-98.3,90.0,top
C2,146.1,-99.6,90.0,top
C20,138.4,-95.4,180.0,top
C21,135.6,-92.582,180.0,top
C22,130.9,-91.4,270.0,top
C23,127.4,-86.327,270.0,top
C3,148.1,-99.6,270.0,top
C4,150.1,-99.6,90.0,top
C5,152.1,-99.6,90.0,top
C6,146.5,-92.6,270.0,top
C7,144.2,-95.8,0.0,top
C8,141.2,-92.6,0.0,top
C9,146.5,-110.2,270.0,top
R1,144.572,-105.8,90.0,top
R10,146.1,-88.3,0.0,top
R11,145.9,-90.3,0.0,top
R12,148.0,-114.0,90.0,top
R13,145.9,-114.0,90.0,top
R14,141.9,-114.0,90.0,top
R15,138.0,-114.0,90.0,top
R16,135.9,-114.0,90.0,top
R17,133.9,-114.0,90.0,top
R18,130.0,-114.0,90.0,top
R19,126.2,-113.975,90.0,top
R2,146.6,-106.4,270.0,top
R20,144.1,-110.1,90.0,top
R21,141.8,-110.1,90.0,top
R22,139.5,-110.1,90.0,top
R23,132.5,-110.1,90.0,top
R24,130.3,-110.1,90.0,top
R25,127.9,-110.1,90.0,top
R26,133.8,-104.3,90.0,top
R27,132.1,-104.3,90.0,top
R28,142.7,-103.4,90.0,top
R29,140.7,-103.4,90.0,top
R3,148.6,-106.7,270.0,top
R30,138.7,-103.4,90.0,top
R31,129.434,-103.4,90.0,top
R32,127.363,-103.4,90.0,top
R33,125.357,-103.3,90.0,top
R34,128.5,-98.3,90.0,top
R35,139.5,-99.2,270.0,top
R36,133.3,-95.4,0.0,top
R37,128.1,-95.4,180.0,top
R38,149.3,-86.7,180.0,top
R39,149.3,-84.86,180.0,top
R4,150.4,-106.7,270.0,top
R40,149.3,-82.96,180.0,top
R41,126.1,-91.3,180.0,top
R42,126.1,-89.8,180.0,top
R5,152.4,-106.7,270.0,top
R6,146.1,-102.8,90.0,top
R7,148.1,-102.9,90.0,top
R8,150.1,-102.9,90.0,top
R9,152.1,-102.9,90.0,top
U1,133.993,-99.25,270.0,top
U2,149.947,-92.86,270.0,top
