Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C20, C3, C4, C5, C6",0603,7,0.1uF/50V,
"C10, C11, C12, C13, C14, C15",0603,6,1uF/16V,
"C16, C9",0805,2,10uF/16V,
C17,1206,1,10uF/16V,
"C18, C19",0603,2,150pF/50V,
"C21, C22, C23",CP_EIA-3528-15_AVX-H,3,47uF/10V,
C7,1206,1,22uF/10V,
C8,CP_EIA-3528-15_AVX-H,1,220uF/6.3V,
"R1, R12, R15, R19",0603,4,2.20k,
R10,0603,1,4.7k,
"R11, R13, R14, R17, R18",0603,5,75.0,
R16,0603,1,750,
"R2, R3, R4, R5",0603,4,5.62k,
"R20, R21, R22, R23, R24, R25",0603,6,210k,
"R26, R27, R30, R33",0603,4,10k,
"R28, R31",0603,2,130k,
"R29, R32",0603,2,100k,
"R34, R35",0603,2,300k,
"R36, R37",0603,2,330,
"R38, R39, R40",0603,3,511,
"R41, R42, R6, R7, R8, R9",0603,6,1k,
U1,DMP-8,1,TL972IDR,
U2,TSSOP-14,1,THS7374IPWR,
